,Date,NASDAQ 100
193,1980-10-01,189.619995
194,1980-10-02,190.809998
195,1980-10-03,193.429993
196,1980-10-06,196.009995
197,1980-10-07,196.169998
198,1980-10-08,197.179993
199,1980-10-09,197.529999
200,1980-10-10,197.78999299999998
201,1980-10-13,198.869995
202,1980-10-14,199.020004
203,1980-10-15,199.429993
204,1980-10-16,197.949997
205,1980-10-17,197.240005
206,1980-10-20,197.149994
207,1980-10-21,196.46000700000002
208,1980-10-22,197.899994
209,1980-10-23,195.809998
210,1980-10-24,196.169998
211,1980-10-27,194.350006
212,1980-10-28,193.759995
213,1980-10-29,194.490005
214,1980-10-30,192.509995
215,1980-10-31,192.779999
216,1980-11-03,193.149994
217,1980-11-05,196.029999
218,1980-11-06,193.96000700000002
219,1980-11-07,193.509995
220,1980-11-10,193.100006
221,1980-11-11,195.020004
222,1980-11-12,197.779999
223,1980-11-13,200.25
224,1980-11-14,201.759995
225,1980-11-17,201.58999599999999
226,1980-11-18,203.759995
227,1980-11-19,205.020004
228,1980-11-20,206.5
229,1980-11-21,206.070007
230,1980-11-24,204.220001
231,1980-11-25,205.41000400000001
232,1980-11-26,207.059998
233,1980-11-28,208.149994
234,1980-12-01,204.91000400000001
235,1980-12-02,203.71000700000002
236,1980-12-03,204.899994
237,1980-12-04,206.190002
238,1980-12-05,203.020004
239,1980-12-08,195.869995
240,1980-12-09,195.070007
241,1980-12-10,193.580002
242,1980-12-11,188.75
243,1980-12-12,191.220001
244,1980-12-15,194.020004
245,1980-12-16,191.880005
246,1980-12-17,194.020004
247,1980-12-18,196.009995
248,1980-12-19,197.91000400000001
249,1980-12-22,199.78999299999998
250,1980-12-23,199.860001
251,1980-12-24,200.139999
252,1980-12-26,201.279999
253,1980-12-29,199.83999599999999
254,1980-12-30,200.46000700000002
255,1980-12-31,202.33999599999999
256,1981-01-02,203.550003
257,1981-01-05,204.169998
258,1981-01-06,204.070007
259,1981-01-07,197.350006
260,1981-01-08,195.889999
261,1981-01-09,197.66000400000001
262,1981-01-12,198.440002
263,1981-01-13,198.050003
264,1981-01-14,199.080002
265,1981-01-15,199.850006
266,1981-01-16,201.130005
267,1981-01-19,201.580002
268,1981-01-20,198.720001
269,1981-01-21,198.08999599999999
270,1981-01-22,197.119995
271,1981-01-23,197.520004
272,1981-01-26,196.130005
273,1981-01-27,197.179993
274,1981-01-28,197.369995
275,1981-01-29,197.880005
276,1981-01-30,197.809998
277,1981-02-02,193.08999599999999
278,1981-02-03,193.559998
279,1981-02-04,194.570007
280,1981-02-05,196.28999299999998
281,1981-02-06,197.869995
282,1981-02-09,196.929993
283,1981-02-10,196.699997
284,1981-02-11,195.809998
285,1981-02-12,194.610001
286,1981-02-13,193.889999
287,1981-02-17,193.979996
288,1981-02-18,194.729996
289,1981-02-19,192.740005
