,Date,Bonds 10year
0,1979-12-27,10.46
1,1979-12-28,10.41
3,1979-12-31,10.33
5,1980-01-02,10.5
6,1980-01-03,10.6
7,1980-01-04,10.66
9,1980-01-07,10.63
10,1980-01-08,10.57
11,1980-01-09,10.58
12,1980-01-10,10.51
13,1980-01-11,10.68
15,1980-01-14,10.7
16,1980-01-15,10.65
17,1980-01-16,10.65
18,1980-01-17,10.71
19,1980-01-18,10.82
21,1980-01-21,10.96
22,1980-01-22,10.85
23,1980-01-23,10.82
24,1980-01-24,11.01
25,1980-01-25,11.1
27,1980-01-28,11.15
28,1980-01-29,11.21
29,1980-01-30,11.16
30,1980-01-31,11.13
31,1980-02-01,11.29
33,1980-02-04,11.4
34,1980-02-05,11.73
35,1980-02-06,11.92
36,1980-02-07,11.71
37,1980-02-08,11.8
39,1980-02-11,12.01
41,1980-02-13,11.86
42,1980-02-14,11.97
43,1980-02-15,12.2
46,1980-02-19,12.85
47,1980-02-20,12.84
48,1980-02-21,13.22
49,1980-02-22,13.06
51,1980-02-25,13.27
52,1980-02-26,13.65
53,1980-02-27,13.46
54,1980-02-28,12.92
55,1980-02-29,12.72
57,1980-03-03,12.79
58,1980-03-04,12.91
59,1980-03-05,13.03
60,1980-03-06,13.13
61,1980-03-07,12.86
63,1980-03-10,12.63
64,1980-03-11,12.41
65,1980-03-12,12.62
66,1980-03-13,12.5
67,1980-03-14,12.52
69,1980-03-17,12.58
70,1980-03-18,12.4
71,1980-03-19,12.35
72,1980-03-20,12.62
73,1980-03-21,12.75
75,1980-03-24,13.17
76,1980-03-25,13.1
77,1980-03-26,13.03
78,1980-03-27,12.97
79,1980-03-28,12.72
81,1980-03-31,12.64
82,1980-04-01,12.69
83,1980-04-02,12.63
84,1980-04-03,12.52
87,1980-04-07,12.13
88,1980-04-08,12.21
89,1980-04-09,12.06
90,1980-04-10,12.06
91,1980-04-11,11.79
93,1980-04-14,11.62
94,1980-04-15,11.57
95,1980-04-16,10.9
96,1980-04-17,11.13
97,1980-04-18,11.05
99,1980-04-21,10.9
100,1980-04-22,10.82
101,1980-04-23,10.89
102,1980-04-24,10.96
103,1980-04-25,10.95
105,1980-04-28,10.63
106,1980-04-29,10.67
107,1980-04-30,10.76
108,1980-05-01,10.57
109,1980-05-02,10.24
111,1980-05-05,10.18
112,1980-05-06,9.8
113,1980-05-07,9.96
114,1980-05-08,10.18
115,1980-05-09,10.3
117,1980-05-12,10.3
118,1980-05-13,10.13
119,1980-05-14,10.14
120,1980-05-15,10.31
121,1980-05-16,10.37
123,1980-05-19,10.53
124,1980-05-20,10.22
125,1980-05-21,10.08
126,1980-05-22,10.1
127,1980-05-23,9.85
130,1980-05-27,9.96
131,1980-05-28,10.1
132,1980-05-29,10.24
133,1980-05-30,10.25
135,1980-06-02,10.31
136,1980-06-03,10.16
137,1980-06-04,10.07
138,1980-06-05,10.02
139,1980-06-06,9.81
141,1980-06-09,9.73
142,1980-06-10,9.83
143,1980-06-11,9.7
144,1980-06-12,9.53
145,1980-06-13,9.51
147,1980-06-16,9.47
148,1980-06-17,9.49
149,1980-06-18,9.56
150,1980-06-19,9.56
151,1980-06-20,9.49
153,1980-06-23,9.63
154,1980-06-24,9.68
155,1980-06-25,9.79
156,1980-06-26,9.87
157,1980-06-27,10.04
159,1980-06-30,10.09
160,1980-07-01,10.13
161,1980-07-02,10.19
162,1980-07-03,10.01
165,1980-07-07,10.2
166,1980-07-08,10.09
167,1980-07-09,10.14
168,1980-07-10,10.21
169,1980-07-11,10.28
171,1980-07-14,10.33
172,1980-07-15,10.17
173,1980-07-16,10.07
174,1980-07-17,10.21
175,1980-07-18,10.2
177,1980-07-21,10.13
178,1980-07-22,10.18
179,1980-07-23,10.12
180,1980-07-24,10.24
181,1980-07-25,10.35
183,1980-07-28,10.46
184,1980-07-29,10.45
185,1980-07-30,10.53
186,1980-07-31,10.76
187,1980-08-01,10.76
189,1980-08-04,10.69
190,1980-08-05,10.7
191,1980-08-06,10.8
192,1980-08-07,10.71
193,1980-08-08,10.87
195,1980-08-11,11.03
196,1980-08-12,10.98
197,1980-08-13,10.89
198,1980-08-14,10.9
199,1980-08-15,10.86
201,1980-08-18,11.13
202,1980-08-19,11.24
203,1980-08-20,11.22
204,1980-08-21,11.3
205,1980-08-22,11.13
207,1980-08-25,11.4
208,1980-08-26,11.42
209,1980-08-27,11.67
210,1980-08-28,11.89
211,1980-08-29,11.55
214,1980-09-02,11.32
215,1980-09-03,11.08
216,1980-09-04,11.16
217,1980-09-05,11.21
219,1980-09-08,11.29
220,1980-09-09,11.19
221,1980-09-10,11.14
222,1980-09-11,11.32
223,1980-09-12,11.37
225,1980-09-15,11.62
226,1980-09-16,11.52
227,1980-09-17,11.57
228,1980-09-18,11.53
229,1980-09-19,11.33
231,1980-09-22,11.69
232,1980-09-23,11.76
233,1980-09-24,11.75
234,1980-09-25,11.91
235,1980-09-26,11.99
237,1980-09-29,12.07
238,1980-09-30,11.86
239,1980-10-01,11.78
240,1980-10-02,11.83
241,1980-10-03,11.4
243,1980-10-06,11.35
244,1980-10-07,11.43
245,1980-10-08,11.51
246,1980-10-09,11.39
247,1980-10-10,11.44
250,1980-10-14,11.37
251,1980-10-15,11.29
252,1980-10-16,11.47
253,1980-10-17,11.62
255,1980-10-20,11.64
256,1980-10-21,11.7
257,1980-10-22,11.88
258,1980-10-23,11.82
259,1980-10-24,11.74
261,1980-10-27,12.13
262,1980-10-28,12.32
263,1980-10-29,12.48
264,1980-10-30,12.48
265,1980-10-31,12.46
267,1980-11-03,12.46
269,1980-11-05,12.61
270,1980-11-06,13.04
271,1980-11-07,12.66
273,1980-11-10,12.78
275,1980-11-12,12.47
276,1980-11-13,12.49
277,1980-11-14,12.79
279,1980-11-17,12.95
280,1980-11-18,12.62
281,1980-11-19,12.51
282,1980-11-20,12.59
283,1980-11-21,12.8
285,1980-11-24,12.76
286,1980-11-25,12.74
287,1980-11-26,12.65
289,1980-11-28,12.72
291,1980-12-01,12.92
292,1980-12-02,12.95
293,1980-12-03,12.92
294,1980-12-04,12.91
295,1980-12-05,12.85
297,1980-12-08,12.91
298,1980-12-09,13.1
299,1980-12-10,13.15
300,1980-12-11,13.57
301,1980-12-12,13.21
303,1980-12-15,13.25
304,1980-12-16,13.51
305,1980-12-17,13.28
306,1980-12-18,13.22
307,1980-12-19,12.64
309,1980-12-22,12.14
310,1980-12-23,12.35
311,1980-12-24,12.42
313,1980-12-26,12.25
315,1980-12-29,12.2
316,1980-12-30,12.39
317,1980-12-31,12.43
319,1981-01-02,12.42
321,1981-01-05,12.15
322,1981-01-06,12.11
323,1981-01-07,12.38
324,1981-01-08,12.35
325,1981-01-09,12.57
327,1981-01-12,12.45
328,1981-01-13,12.53
329,1981-01-14,12.53
330,1981-01-15,12.62
331,1981-01-16,12.53
333,1981-01-19,12.64
334,1981-01-20,12.5
335,1981-01-21,12.77
336,1981-01-22,12.87
337,1981-01-23,12.84
339,1981-01-26,12.7
340,1981-01-27,12.73
341,1981-01-28,12.77
342,1981-01-29,12.8
343,1981-01-30,12.68
345,1981-02-02,12.86
346,1981-02-03,12.98
347,1981-02-04,12.86
348,1981-02-05,12.95
349,1981-02-06,13.09
351,1981-02-09,13.21
352,1981-02-10,13.27
353,1981-02-11,13.42
355,1981-02-13,13.65
358,1981-02-17,13.33
359,1981-02-18,13.3
360,1981-02-19,13.09
361,1981-02-20,12.9
363,1981-02-23,13.19
364,1981-02-24,13.21
365,1981-02-25,13.29
366,1981-02-26,13.47
367,1981-02-27,13.43
369,1981-03-02,13.62
370,1981-03-03,13.43
371,1981-03-04,13.45
372,1981-03-05,13.43
373,1981-03-06,13.2
375,1981-03-09,13.09
376,1981-03-10,13.08
377,1981-03-11,13.12
378,1981-03-12,13.03
379,1981-03-13,12.86
381,1981-03-16,12.85
382,1981-03-17,12.68
383,1981-03-18,12.58
384,1981-03-19,12.67
385,1981-03-20,12.77
387,1981-03-23,13.13
388,1981-03-24,13.3
389,1981-03-25,13.21
390,1981-03-26,13.34
391,1981-03-27,13.36
393,1981-03-30,13.22
394,1981-03-31,13.13
395,1981-04-01,13.14
396,1981-04-02,13.25
397,1981-04-03,13.4
399,1981-04-06,13.74
400,1981-04-07,13.41
401,1981-04-08,13.61
402,1981-04-09,13.45
403,1981-04-10,13.59
405,1981-04-13,13.68
406,1981-04-14,13.58
407,1981-04-15,13.74
408,1981-04-16,13.79
411,1981-04-20,13.69
412,1981-04-21,13.73
413,1981-04-22,13.78
414,1981-04-23,13.8
415,1981-04-24,13.88
417,1981-04-27,13.92
418,1981-04-28,13.93
419,1981-04-29,14.05
420,1981-04-30,14.11
421,1981-05-01,14.05
423,1981-05-04,14.47
424,1981-05-05,14.69
425,1981-05-06,14.56
426,1981-05-07,14.33
427,1981-05-08,14.23
429,1981-05-11,14.34
430,1981-05-12,14.46
431,1981-05-13,14.49
432,1981-05-14,14.24
433,1981-05-15,14.07
435,1981-05-18,13.8
436,1981-05-19,13.95
437,1981-05-20,14.0
438,1981-05-21,14.05
439,1981-05-22,13.82
442,1981-05-26,13.67
443,1981-05-27,13.71
444,1981-05-28,13.56
445,1981-05-29,13.5
447,1981-06-01,13.46
448,1981-06-02,13.58
449,1981-06-03,13.55
450,1981-06-04,13.51
451,1981-06-05,13.56
453,1981-06-08,13.36
454,1981-06-09,13.37
455,1981-06-10,13.31
456,1981-06-11,13.32
457,1981-06-12,13.35
459,1981-06-15,13.09
460,1981-06-16,13.08
461,1981-06-17,13.23
462,1981-06-18,13.57
463,1981-06-19,13.46
465,1981-06-22,13.44
466,1981-06-23,13.56
467,1981-06-24,13.66
468,1981-06-25,13.7
469,1981-06-26,13.69
471,1981-06-29,13.68
472,1981-06-30,13.86
473,1981-07-01,14.04
474,1981-07-02,13.95
477,1981-07-06,13.81
478,1981-07-07,14.04
479,1981-07-08,14.11
480,1981-07-09,14.12
481,1981-07-10,13.94
483,1981-07-13,13.99
484,1981-07-14,14.15
485,1981-07-15,14.07
486,1981-07-16,14.11
487,1981-07-17,14.09
489,1981-07-20,14.59
490,1981-07-21,14.61
491,1981-07-22,14.63
492,1981-07-23,14.57
493,1981-07-24,14.41
495,1981-07-27,14.43
496,1981-07-28,14.53
497,1981-07-29,14.61
498,1981-07-30,14.71
499,1981-07-31,14.67
501,1981-08-03,14.95
502,1981-08-04,14.95
503,1981-08-05,14.91
504,1981-08-06,14.86
505,1981-08-07,14.83
507,1981-08-10,14.65
508,1981-08-11,14.4
509,1981-08-12,14.61
510,1981-08-13,14.65
511,1981-08-14,14.74
513,1981-08-17,14.71
514,1981-08-18,14.79
515,1981-08-19,14.77
516,1981-08-20,14.89
517,1981-08-21,14.97
519,1981-08-24,15.32
520,1981-08-25,15.35
521,1981-08-26,15.31
522,1981-08-27,15.36
523,1981-08-28,15.25
525,1981-08-31,15.41
526,1981-09-01,15.41
527,1981-09-02,15.4
528,1981-09-03,15.48
529,1981-09-04,15.51
532,1981-09-08,15.59
533,1981-09-09,15.53
534,1981-09-10,15.3
535,1981-09-11,15.05
537,1981-09-14,15.2
538,1981-09-15,15.08
539,1981-09-16,15.11
540,1981-09-17,14.95
541,1981-09-18,14.91
543,1981-09-21,14.78
544,1981-09-22,15.03
545,1981-09-23,15.23
546,1981-09-24,15.31
547,1981-09-25,15.68
549,1981-09-28,15.65
550,1981-09-29,15.76
551,1981-09-30,15.84
552,1981-10-01,15.75
553,1981-10-02,15.41
555,1981-10-05,15.19
556,1981-10-06,15.14
557,1981-10-07,15.04
558,1981-10-08,15.0
559,1981-10-09,14.73
562,1981-10-13,14.83
563,1981-10-14,14.87
564,1981-10-15,14.88
565,1981-10-16,14.94
567,1981-10-19,14.95
568,1981-10-20,15.09
569,1981-10-21,15.34
570,1981-10-22,15.38
571,1981-10-23,15.3
573,1981-10-26,15.6
574,1981-10-27,15.54
575,1981-10-28,15.44
576,1981-10-29,15.06
577,1981-10-30,14.63
579,1981-11-02,14.57
581,1981-11-04,14.18
582,1981-11-05,14.19
583,1981-11-06,13.94
585,1981-11-09,13.39
586,1981-11-10,13.4
588,1981-11-12,13.19
589,1981-11-13,13.18
591,1981-11-16,13.07
592,1981-11-17,13.18
593,1981-11-18,13.0
594,1981-11-19,13.04
595,1981-11-20,13.14
597,1981-11-23,13.44
598,1981-11-24,13.13
599,1981-11-25,12.98
601,1981-11-27,12.92
603,1981-11-30,13.13
604,1981-12-01,13.37
605,1981-12-02,13.49
606,1981-12-03,13.45
607,1981-12-04,13.15
609,1981-12-07,13.5
610,1981-12-08,13.5
611,1981-12-09,13.64
612,1981-12-10,13.8
613,1981-12-11,13.84
615,1981-12-14,13.62
616,1981-12-15,13.55
617,1981-12-16,13.53
618,1981-12-17,13.71
619,1981-12-18,13.51
621,1981-12-21,13.83
622,1981-12-22,14.02
623,1981-12-23,14.14
624,1981-12-24,14.01
627,1981-12-28,14.01
628,1981-12-29,14.12
629,1981-12-30,14.17
630,1981-12-31,13.98
633,1982-01-04,14.19
634,1982-01-05,14.44
635,1982-01-06,14.59
636,1982-01-07,14.63
637,1982-01-08,14.48
639,1982-01-11,14.81
640,1982-01-12,14.62
641,1982-01-13,14.83
642,1982-01-14,14.7
643,1982-01-15,14.82
645,1982-01-18,14.75
646,1982-01-19,14.8
647,1982-01-20,14.81
648,1982-01-21,14.62
649,1982-01-22,14.69
651,1982-01-25,14.62
652,1982-01-26,14.54
653,1982-01-27,14.51
654,1982-01-28,14.29
655,1982-01-29,14.14
657,1982-02-01,14.58
658,1982-02-02,14.47
659,1982-02-03,14.69
660,1982-02-04,14.76
661,1982-02-05,14.65
663,1982-02-08,14.88
664,1982-02-09,14.95
665,1982-02-10,14.81
666,1982-02-11,14.71
670,1982-02-16,14.53
671,1982-02-17,14.5
672,1982-02-18,14.28
673,1982-02-19,14.24
675,1982-02-22,13.87
676,1982-02-23,13.93
677,1982-02-24,13.87
678,1982-02-25,13.91
679,1982-02-26,14.03
681,1982-03-01,13.85
682,1982-03-02,13.74
683,1982-03-03,13.69
684,1982-03-04,13.61
685,1982-03-05,13.59
687,1982-03-08,13.67
688,1982-03-09,13.69
689,1982-03-10,13.73
690,1982-03-11,13.95
691,1982-03-12,13.97
693,1982-03-15,13.96
694,1982-03-16,13.91
695,1982-03-17,13.88
696,1982-03-18,13.87
697,1982-03-19,13.89
699,1982-03-22,13.74
700,1982-03-23,13.72
701,1982-03-24,13.91
702,1982-03-25,13.9
703,1982-03-26,14.01
705,1982-03-29,14.16
706,1982-03-30,14.19
707,1982-03-31,14.18
708,1982-04-01,14.1
709,1982-04-02,14.1
711,1982-04-05,14.16
712,1982-04-06,14.18
713,1982-04-07,14.18
714,1982-04-08,13.98
717,1982-04-12,13.83
718,1982-04-13,13.83
719,1982-04-14,13.95
720,1982-04-15,13.91
721,1982-04-16,13.71
723,1982-04-19,13.66
724,1982-04-20,13.72
725,1982-04-21,13.69
726,1982-04-22,13.71
727,1982-04-23,13.69
729,1982-04-26,13.7
730,1982-04-27,13.7
731,1982-04-28,13.77
732,1982-04-29,13.87
733,1982-04-30,13.87
735,1982-05-03,13.95
736,1982-05-04,13.87
737,1982-05-05,13.8
738,1982-05-06,13.54
739,1982-05-07,13.48
741,1982-05-10,13.49
742,1982-05-11,13.46
743,1982-05-12,13.59
744,1982-05-13,13.62
745,1982-05-14,13.48
747,1982-05-17,13.57
748,1982-05-18,13.6
749,1982-05-19,13.64
750,1982-05-20,13.53
751,1982-05-21,13.52
753,1982-05-24,13.58
754,1982-05-25,13.62
755,1982-05-26,13.68
756,1982-05-27,13.72
757,1982-05-28,13.71
760,1982-06-01,13.93
761,1982-06-02,13.86
762,1982-06-03,13.9
763,1982-06-04,13.98
765,1982-06-07,13.94
766,1982-06-08,13.98
767,1982-06-09,13.99
768,1982-06-10,14.02
769,1982-06-11,13.93
771,1982-06-14,14.21
772,1982-06-15,14.21
773,1982-06-16,14.26
774,1982-06-17,14.48
775,1982-06-18,14.62
777,1982-06-21,14.63
778,1982-06-22,14.66
779,1982-06-23,14.74
780,1982-06-24,14.71
781,1982-06-25,14.76
783,1982-06-28,14.73
784,1982-06-29,14.61
785,1982-06-30,14.44
786,1982-07-01,14.4
787,1982-07-02,14.5
790,1982-07-06,14.48
791,1982-07-07,14.49
792,1982-07-08,14.19
793,1982-07-09,14.03
795,1982-07-12,13.87
796,1982-07-13,14.02
797,1982-07-14,14.1
798,1982-07-15,13.96
799,1982-07-16,13.7
801,1982-07-19,13.68
802,1982-07-20,13.53
803,1982-07-21,13.6
804,1982-07-22,13.51
805,1982-07-23,13.56
807,1982-07-26,13.91
808,1982-07-27,13.86
809,1982-07-28,13.97
810,1982-07-29,13.83
811,1982-07-30,13.68
813,1982-08-02,13.41
814,1982-08-03,13.51
815,1982-08-04,13.68
816,1982-08-05,13.7
817,1982-08-06,13.85
819,1982-08-09,13.7
820,1982-08-10,13.69
821,1982-08-11,13.71
822,1982-08-12,13.55
823,1982-08-13,13.2
825,1982-08-16,13.09
826,1982-08-17,12.65
827,1982-08-18,12.57
828,1982-08-19,12.47
829,1982-08-20,12.24
831,1982-08-23,12.47
832,1982-08-24,12.35
833,1982-08-25,12.43
834,1982-08-26,12.55
835,1982-08-27,12.77
837,1982-08-30,12.81
838,1982-08-31,12.81
839,1982-09-01,12.76
840,1982-09-02,12.6
841,1982-09-03,12.47
844,1982-09-07,12.53
845,1982-09-08,12.51
846,1982-09-09,12.53
847,1982-09-10,12.73
849,1982-09-13,12.63
850,1982-09-14,12.56
851,1982-09-15,12.6
852,1982-09-16,12.6
853,1982-09-17,12.51
855,1982-09-20,12.47
856,1982-09-21,12.18
857,1982-09-22,12.04
858,1982-09-23,11.94
859,1982-09-24,12.09
861,1982-09-27,11.99
862,1982-09-28,11.85
863,1982-09-29,11.8
864,1982-09-30,11.73
865,1982-10-01,11.51
867,1982-10-04,11.72
868,1982-10-05,11.69
869,1982-10-06,11.5
870,1982-10-07,10.91
871,1982-10-08,10.83
874,1982-10-12,10.53
875,1982-10-13,10.39
876,1982-10-14,10.61
877,1982-10-15,10.75
879,1982-10-18,10.58
880,1982-10-19,10.56
881,1982-10-20,10.69
882,1982-10-21,10.69
883,1982-10-22,10.81
885,1982-10-25,11.11
886,1982-10-26,10.87
887,1982-10-27,10.9
888,1982-10-28,10.77
889,1982-10-29,10.71
891,1982-11-01,10.56
893,1982-11-03,10.46
894,1982-11-04,10.42
895,1982-11-05,10.48
897,1982-11-08,10.55
898,1982-11-09,10.51
899,1982-11-10,10.48
901,1982-11-12,10.58
903,1982-11-15,10.65
904,1982-11-16,10.67
905,1982-11-17,10.59
906,1982-11-18,10.46
907,1982-11-19,10.42
909,1982-11-22,10.43
910,1982-11-23,10.53
911,1982-11-24,10.59
913,1982-11-26,10.51
915,1982-11-29,10.78
916,1982-11-30,10.79
917,1982-12-01,10.74
918,1982-12-02,10.68
919,1982-12-03,10.47
921,1982-12-06,10.46
922,1982-12-07,10.48
923,1982-12-08,10.62
924,1982-12-09,10.58
925,1982-12-10,10.66
927,1982-12-13,10.61
928,1982-12-14,10.46
929,1982-12-15,10.5
930,1982-12-16,10.59
931,1982-12-17,10.64
933,1982-12-20,10.7
934,1982-12-21,10.54
935,1982-12-22,10.53
936,1982-12-23,10.47
939,1982-12-27,10.44
940,1982-12-28,10.44
941,1982-12-29,10.47
942,1982-12-30,10.44
943,1982-12-31,10.36
945,1983-01-03,10.32
946,1983-01-04,10.37
947,1983-01-05,10.35
948,1983-01-06,10.39
949,1983-01-07,10.36
951,1983-01-10,10.38
952,1983-01-11,10.34
953,1983-01-12,10.32
954,1983-01-13,10.27
955,1983-01-14,10.28
957,1983-01-17,10.28
958,1983-01-18,10.3
959,1983-01-19,10.41
960,1983-01-20,10.43
961,1983-01-21,10.61
963,1983-01-24,10.7
964,1983-01-25,10.62
965,1983-01-26,10.69
966,1983-01-27,10.67
967,1983-01-28,10.71
969,1983-01-31,10.8
970,1983-02-01,10.78
971,1983-02-02,10.88
972,1983-02-03,10.93
973,1983-02-04,10.99
975,1983-02-07,10.96
976,1983-02-08,10.99
977,1983-02-09,11.0
978,1983-02-10,10.83
979,1983-02-11,10.8
981,1983-02-14,10.8
982,1983-02-15,10.84
983,1983-02-16,10.81
984,1983-02-17,10.71
985,1983-02-18,10.6
988,1983-02-22,10.46
989,1983-02-23,10.44
990,1983-02-24,10.42
991,1983-02-25,10.26
993,1983-02-28,10.27
994,1983-03-01,10.22
995,1983-03-02,10.26
996,1983-03-03,10.23
997,1983-03-04,10.27
999,1983-03-07,10.43
1000,1983-03-08,10.52
1001,1983-03-09,10.48
1002,1983-03-10,10.55
1003,1983-03-11,10.59
1005,1983-03-14,10.48
1006,1983-03-15,10.46
1007,1983-03-16,10.53
1008,1983-03-17,10.56
1009,1983-03-18,10.58
1011,1983-03-21,10.6
1012,1983-03-22,10.62
1013,1983-03-23,10.58
1014,1983-03-24,10.58
1015,1983-03-25,10.64
1017,1983-03-28,10.66
1018,1983-03-29,10.6
1019,1983-03-30,10.59
1020,1983-03-31,10.62
1023,1983-04-04,10.6
1024,1983-04-05,10.49
1025,1983-04-06,10.49
1026,1983-04-07,10.51
1027,1983-04-08,10.51
1029,1983-04-11,10.41
1030,1983-04-12,10.42
1031,1983-04-13,10.39
1032,1983-04-14,10.29
1033,1983-04-15,10.33
1035,1983-04-18,10.29
1036,1983-04-19,10.39
1037,1983-04-20,10.39
1038,1983-04-21,10.43
1039,1983-04-22,10.42
1041,1983-04-25,10.4
1042,1983-04-26,10.37
1043,1983-04-27,10.29
1044,1983-04-28,10.31
1045,1983-04-29,10.27
1047,1983-05-02,10.26
1048,1983-05-03,10.26
1049,1983-05-04,10.12
1050,1983-05-05,10.16
1051,1983-05-06,10.13
1053,1983-05-09,10.25
1054,1983-05-10,10.16
1055,1983-05-11,10.18
1056,1983-05-12,10.23
1057,1983-05-13,10.22
1059,1983-05-16,10.37
1060,1983-05-17,10.41
1061,1983-05-18,10.43
1062,1983-05-19,10.49
1063,1983-05-20,10.54
1065,1983-05-23,10.57
1066,1983-05-24,10.56
1067,1983-05-25,10.58
1068,1983-05-26,10.63
1069,1983-05-27,10.62
1072,1983-05-31,10.81
1073,1983-06-01,10.77
1074,1983-06-02,10.78
1075,1983-06-03,10.79
1077,1983-06-06,10.79
1078,1983-06-07,10.85
1079,1983-06-08,10.92
1080,1983-06-09,10.88
1081,1983-06-10,10.89
1083,1983-06-13,10.75
1084,1983-06-14,10.77
1085,1983-06-15,10.72
1086,1983-06-16,10.64
1087,1983-06-17,10.68
1089,1983-06-20,10.8
1090,1983-06-21,10.79
1091,1983-06-22,10.83
1092,1983-06-23,10.9
1093,1983-06-24,11.02
1095,1983-06-27,11.11
1096,1983-06-28,11.04
1097,1983-06-29,10.99
1098,1983-06-30,10.96
1099,1983-07-01,10.93
1102,1983-07-05,11.21
1103,1983-07-06,11.16
1104,1983-07-07,11.29
1105,1983-07-08,11.33
1107,1983-07-11,11.28
1108,1983-07-12,11.42
1109,1983-07-13,11.4
1110,1983-07-14,11.38
1111,1983-07-15,11.51
1113,1983-07-18,11.41
1114,1983-07-19,11.36
1115,1983-07-20,11.28
1116,1983-07-21,11.32
1117,1983-07-22,11.43
1119,1983-07-25,11.41
1120,1983-07-26,11.49
1121,1983-07-27,11.51
1122,1983-07-28,11.66
1123,1983-07-29,11.76
1125,1983-08-01,11.8
1126,1983-08-02,11.82
1127,1983-08-03,11.92
1128,1983-08-04,12.12
1129,1983-08-05,12.1
1131,1983-08-08,12.2
1132,1983-08-09,12.13
1133,1983-08-10,12.17
1134,1983-08-11,12.04
1135,1983-08-12,11.96
1137,1983-08-15,11.76
1138,1983-08-16,11.71
1139,1983-08-17,11.65
1140,1983-08-18,11.7
1141,1983-08-19,11.72
1143,1983-08-22,11.54
1144,1983-08-23,11.57
1145,1983-08-24,11.54
1146,1983-08-25,11.62
1147,1983-08-26,11.65
1149,1983-08-29,11.86
1150,1983-08-30,11.9
1151,1983-08-31,11.98
1152,1983-09-01,11.97
1153,1983-09-02,12.01
1156,1983-09-06,11.85
1157,1983-09-07,11.7
1158,1983-09-08,11.77
1159,1983-09-09,11.73
1161,1983-09-12,11.56
1162,1983-09-13,11.63
1163,1983-09-14,11.76
1164,1983-09-15,11.82
1165,1983-09-16,11.68
1167,1983-09-19,11.66
1168,1983-09-20,11.57
1169,1983-09-21,11.64
1170,1983-09-22,11.6
1171,1983-09-23,11.49
1173,1983-09-26,11.41
1174,1983-09-27,11.45
1175,1983-09-28,11.49
1176,1983-09-29,11.5
1177,1983-09-30,11.44
1179,1983-10-03,11.47
1180,1983-10-04,11.46
1181,1983-10-05,11.35
1182,1983-10-06,11.31
1183,1983-10-07,11.33
1186,1983-10-11,11.57
1187,1983-10-12,11.59
1188,1983-10-13,11.65
1189,1983-10-14,11.58
1191,1983-10-17,11.47
1192,1983-10-18,11.49
1193,1983-10-19,11.49
1194,1983-10-20,11.47
1195,1983-10-21,11.43
1197,1983-10-24,11.66
1198,1983-10-25,11.7
1199,1983-10-26,11.72
1200,1983-10-27,11.66
1201,1983-10-28,11.68
1203,1983-10-31,11.74
1204,1983-11-01,11.69
1205,1983-11-02,11.7
1206,1983-11-03,11.75
1207,1983-11-04,11.85
1209,1983-11-07,11.85
1211,1983-11-09,11.84
1212,1983-11-10,11.71
1215,1983-11-14,11.68
1216,1983-11-15,11.7
1217,1983-11-16,11.7
1218,1983-11-17,11.72
1219,1983-11-18,11.72
1221,1983-11-21,11.65
1222,1983-11-22,11.57
1223,1983-11-23,11.59
1225,1983-11-25,11.55
1227,1983-11-28,11.63
1228,1983-11-29,11.58
1229,1983-11-30,11.63
1230,1983-12-01,11.63
1231,1983-12-02,11.75
1233,1983-12-05,11.78
1234,1983-12-06,11.76
1235,1983-12-07,11.79
1236,1983-12-08,11.89
1237,1983-12-09,11.9
1239,1983-12-12,11.87
1240,1983-12-13,11.95
1241,1983-12-14,11.97
1242,1983-12-15,11.96
1243,1983-12-16,11.88
1245,1983-12-19,11.87
1246,1983-12-20,11.86
1247,1983-12-21,11.83
1248,1983-12-22,11.77
1249,1983-12-23,11.79
1252,1983-12-27,11.75
1253,1983-12-28,11.81
1254,1983-12-29,11.79
1255,1983-12-30,11.82
1258,1984-01-03,11.86
1259,1984-01-04,11.78
1260,1984-01-05,11.77
1261,1984-01-06,11.73
1263,1984-01-09,11.75
1264,1984-01-10,11.71
1265,1984-01-11,11.76
1266,1984-01-12,11.76
1267,1984-01-13,11.59
1269,1984-01-16,11.54
1270,1984-01-17,11.57
1271,1984-01-18,11.61
1272,1984-01-19,11.6
1273,1984-01-20,11.64
1275,1984-01-23,11.63
1276,1984-01-24,11.63
1277,1984-01-25,11.64
1278,1984-01-26,11.63
1279,1984-01-27,11.63
1281,1984-01-30,11.66
1282,1984-01-31,11.67
1283,1984-02-01,11.64
1284,1984-02-02,11.6
1285,1984-02-03,11.6
1287,1984-02-06,11.7
1288,1984-02-07,11.71
1289,1984-02-08,11.72
1290,1984-02-09,11.73
1291,1984-02-10,11.83
1294,1984-02-14,11.85
1295,1984-02-15,11.81
1296,1984-02-16,11.83
1297,1984-02-17,11.92
1300,1984-02-21,11.91
1301,1984-02-22,11.93
1302,1984-02-23,12.05
1303,1984-02-24,11.99
1305,1984-02-27,12.05
1306,1984-02-28,12.09
1307,1984-02-29,12.04
1308,1984-03-01,12.07
1309,1984-03-02,11.99
1311,1984-03-05,12.07
1312,1984-03-06,12.09
1313,1984-03-07,12.22
1314,1984-03-08,12.24
1315,1984-03-09,12.28
1317,1984-03-12,12.24
1318,1984-03-13,12.27
1319,1984-03-14,12.31
1320,1984-03-15,12.31
1321,1984-03-16,12.34
1323,1984-03-19,12.45
1324,1984-03-20,12.44
1325,1984-03-21,12.45
