,Date,NIKKEI 225
189,1980-09-17,7031.509765999999
190,1980-09-18,7035.839844
191,1980-09-19,7041.660156
192,1980-09-22,7046.509765999999
194,1980-09-24,6972.620117
195,1980-09-25,6989.839844
196,1980-09-26,6998.52002
197,1980-09-29,7060.75
198,1980-09-30,7076.459961
199,1980-10-01,7123.080078
200,1980-10-02,7119.399901999999
201,1980-10-03,7142.240234000001
202,1980-10-06,7155.97998
203,1980-10-07,7149.910156
204,1980-10-08,7115.330078
205,1980-10-09,7130.299805
207,1980-10-13,7160.259765999999
208,1980-10-14,7157.799805
209,1980-10-15,7174.27002
210,1980-10-16,7151.779785
211,1980-10-17,7169.259765999999
212,1980-10-20,7175.330078
213,1980-10-21,7165.359863
214,1980-10-22,7143.859863
215,1980-10-23,7130.890137
216,1980-10-24,7117.069823999999
217,1980-10-27,7089.189941
218,1980-10-28,7088.439941
219,1980-10-29,7113.529785
220,1980-10-30,7124.779785
221,1980-10-31,7150.75
223,1980-11-04,7149.370117
224,1980-11-05,7176.390137
225,1980-11-06,7188.279785
226,1980-11-07,7150.330078
227,1980-11-10,7166.77002
228,1980-11-11,7134.5
229,1980-11-12,7149.850098000001
230,1980-11-13,7154.410156
231,1980-11-14,7159.560059
232,1980-11-17,7126.160156
233,1980-11-18,7102.47998
234,1980-11-19,7135.939941
235,1980-11-20,7126.72998
236,1980-11-21,7117.899901999999
238,1980-11-25,7145.430176000001
239,1980-11-26,7186.299805
240,1980-11-27,7172.169922
241,1980-11-28,7123.620117
242,1980-12-01,7160.290039
243,1980-12-02,7143.060059
244,1980-12-03,7141.200195
245,1980-12-04,7149.470215
246,1980-12-05,7136.600098000001
247,1980-12-08,7125.129883
248,1980-12-09,7115.100098000001
249,1980-12-10,7098.850098000001
250,1980-12-11,7042.410156
251,1980-12-12,7033.700195
252,1980-12-15,7042.669922
253,1980-12-16,7036.759765999999
254,1980-12-17,7038.100098000001
255,1980-12-18,7063.540039
256,1980-12-19,7060.52002
257,1980-12-22,7050.790039
258,1980-12-23,7023.569823999999
