,predicted_volatility,actual_volatility
0,1.6852866411209106,1.6594467130075814
1,1.6925362348556519,1.6623161686423298
2,1.6966478824615479,1.667671110141167
3,1.6986565589904785,2.0136912734645804
4,1.7139241695404053,2.036939513343976
5,1.7543601989746094,1.9937367280240523
6,1.8191711902618408,1.9504823380045264
7,1.8966799974441528,1.9504148672300796
8,1.9719806909561157,1.8959261477846256
9,2.031122922897339,1.8206757131127553
10,2.06252384185791,1.8217979893562442
11,2.062351942062378,1.7905933503089262
12,2.03359317779541,1.7796315578878286
13,1.9840935468673706,1.7823018431836937
14,1.9244167804718018,1.8806468759824075
15,1.8678762912750244,1.9171723898181183
16,1.8281131982803345,1.8543132756394813
17,1.808640956878662,1.805122743467449
18,1.8053786754608154,1.8068212498520477
19,1.8113529682159424,1.8141990649369122
20,1.8211272954940796,1.7897639735864685
21,1.8297193050384521,1.7928068238975505
22,1.8346481323242188,1.799090977286717
23,1.8356395959854126,1.7874165385147234
24,1.82787024974823,1.7988642346790298
25,1.8178308010101318,1.8082717546058515
26,1.8092985153198242,1.8155094436315622
27,1.8045010566711426,1.8172659422221862
28,1.803720235824585,1.8165492719908287
29,1.8074233531951904,1.827234715046926
30,1.8152738809585571,1.8417880644874016
31,1.8255486488342285,1.8342670509015668
32,1.8373202085494995,1.8341753751989813
33,1.8487460613250732,1.86673722218326
34,1.8596904277801514,1.8587249794129126
35,1.8684319257736206,1.853255365589588
36,1.875139594078064,1.845933796381164
37,1.8804785013198853,1.8157143775428939
38,1.8825217485427856,1.829842708635114
39,1.8802236318588257,1.833223213923733
40,1.8744661808013916,1.8450865585546314
41,1.8678309917449951,1.8409298582124811
42,1.8616783618927002,1.8363746644841614
43,1.856825828552246,1.8375402042254296
44,1.8538782596588135,1.7678919493334373
45,1.8494359254837036,1.7616529345404812
46,1.8409373760223389,1.770396085048881
47,1.8282606601715088,1.7394580824163106
48,1.811761498451233,1.7349653864316708
49,1.7927303314208984,1.7102751218277281
50,1.7720115184783936,1.7023096577978465
51,1.7507485151290894,1.6990029537314992
52,1.7307699918746948,1.6952608365982809
53,1.7134122848510742,1.2371031313247804
54,1.6802666187286377,1.202263106523878
55,1.618613600730896,1.2045131851241029
56,1.528140902519226,1.1880978235097857
57,1.418573260307312,1.218218414442514
58,1.3061752319335938,1.2160599503587752
59,1.2057706117630005,1.2196941337283418
60,1.1288152933120728,1.2301340714045945
61,1.0811712741851807,1.2000384123427341
62,1.0621801614761353,1.1951323723377123
63,1.0664654970169067,1.206017178710099
64,1.0869486331939697,1.0788186038878302
65,1.1124199628829956,1.042480653912128
66,1.1306116580963135,1.0424624044672322
67,1.1350746154785156,1.0520173864495628
68,1.1261963844299316,1.0657467130720597
69,1.1079221963882446,1.0683432453110648
70,1.0862513780593872,1.075898212010529
71,1.066341519355774,1.0767483412896377
72,1.0517311096191406,1.067464056835986
73,1.0435670614242554,1.0692678611215791
74,1.0474098920822144,1.0489771725050612
75,1.0560808181762695,1.030110968957085
76,1.0651148557662964,1.0291319126960763
77,1.071791648864746,1.0282645445833591
78,1.074190378189087,1.0289910113415612
79,1.0727800130844116,1.0063474194164543
80,1.0676857233047485,0.967074646172946
81,1.0580663681030273,0.9573079425333035
